Frame,Class,Count,Avg_Area,Avg_Brightness
1,Seed Cells,1111,83.33933393339333,116.7946901573831
1,Fixed Cells,0,0.0,0.0
1,Dead Cells,0,0.0,0.0
1,Debris,2,18.0,126.05882352941177
2,Seed Cells,1028,81.465953307393,117.57849740180387
2,Fixed Cells,0,0.0,0.0
2,Dead Cells,0,0.0,0.0
2,Debris,4,16.75,122.90684523809523
3,Seed Cells,1043,83.97411313518695,119.88512636434712
3,Fixed Cells,1,51.0,49.450980392156865
3,Dead Cells,0,0.0,0.0
3,Debris,5,20.2,106.07876245290433
4,Seed Cells,1037,90.35583413693347,121.21984977867932
4,Fixed Cells,2,84.5,85.5718236409608
4,Dead Cells,0,0.0,0.0
4,Debris,2,23.5,80.97363636363636
5,Seed Cells,1074,92.16666666666667,121.4434490358686
5,Fixed Cells,2,134.5,120.12759952465834
5,Dead Cells,0,0.0,0.0
5,Debris,1,21.0,161.47619047619048
6,Seed Cells,1091,100.7121906507791,122.75826183070565
6,Fixed Cells,5,198.4,128.08188878329514
6,Dead Cells,0,0.0,0.0
6,Debris,1,16.0,138.8125
7,Seed Cells,1048,112.1526717557252,123.78478412763387
7,Fixed Cells,10,166.7,126.71717085086854
7,Dead Cells,0,0.0,0.0
7,Debris,2,22.0,120.85833333333335
8,Seed Cells,1064,117.97556390977444,124.1108973988831
8,Fixed Cells,15,164.06666666666666,127.71272148582175
8,Dead Cells,0,0.0,0.0
8,Debris,5,24.0,139.20283208020052
9,Seed Cells,1083,121.81532779316713,124.88776458979137
9,Fixed Cells,29,166.86206896551724,125.3982212603293
9,Dead Cells,0,0.0,0.0
9,Debris,8,28.5,125.39304523601399
10,Seed Cells,1073,131.24231127679403,125.4719644129916
10,Fixed Cells,37,197.8918918918919,125.60349260956514
10,Dead Cells,0,0.0,0.0
10,Debris,5,45.4,136.85246978073803
11,Seed Cells,1066,140.6829268292683,125.71368317716373
11,Fixed Cells,53,188.49056603773585,126.26583661430213
11,Dead Cells,0,0.0,0.0
11,Debris,5,35.0,137.59319319319317
12,Seed Cells,1075,144.68837209302325,125.87004343801917
12,Fixed Cells,59,202.52542372881356,126.70739434143509
12,Dead Cells,0,0.0,0.0
12,Debris,10,32.5,130.4333971009629
13,Seed Cells,1148,145.2308362369338,126.32149578688211
13,Fixed Cells,68,193.0441176470588,127.03974648410231
13,Dead Cells,0,0.0,0.0
13,Debris,5,32.0,128.07262302914478
14,Seed Cells,1125,152.46755555555555,126.4434297262335
14,Fixed Cells,85,192.56470588235294,126.90292634745931
14,Dead Cells,0,0.0,0.0
14,Debris,3,36.0,123.64814007555943
15,Seed Cells,1124,158.7935943060498,126.57644869466533
15,Fixed Cells,100,194.71,127.1354834595556
15,Dead Cells,0,0.0,0.0
15,Debris,1,42.0,171.78571428571428
16,Seed Cells,1094,166.01553930530164,126.65748586172202
16,Fixed Cells,130,198.6076923076923,126.60250285781555
16,Dead Cells,0,0.0,0.0
16,Debris,7,120.14285714285714,131.98787577863263
17,Seed Cells,1117,170.8325872873769,126.8309284172502
17,Fixed Cells,108,202.7962962962963,126.79240053465699
17,Dead Cells,0,0.0,0.0
17,Debris,3,40.333333333333336,121.15169082125605
18,Seed Cells,1120,178.86339285714286,126.63381661904592
18,Fixed Cells,129,212.54263565891472,126.53735577186654
18,Dead Cells,1,147.0,107.97278911564626
18,Debris,4,182.75,130.86275148357214
19,Seed Cells,1184,178.40540540540542,126.44540569106834
19,Fixed Cells,102,211.14705882352942,126.72312944201272
19,Dead Cells,0,0.0,0.0
19,Debris,4,176.75,114.18667238634585
20,Seed Cells,1190,177.48655462184874,126.46965885263322
20,Fixed Cells,115,223.59130434782608,126.56142603063537
20,Dead Cells,0,0.0,0.0
20,Debris,4,40.25,118.24772659162561
21,Seed Cells,1201,177.19567027477103,126.66998900964064
21,Fixed Cells,110,226.34545454545454,126.79500005237814
21,Dead Cells,0,0.0,0.0
21,Debris,8,41.375,114.43612357802357
22,Seed Cells,1237,177.8714632174616,126.51396634638441
22,Fixed Cells,116,223.74137931034483,126.5977717045362
22,Dead Cells,0,0.0,0.0
22,Debris,2,43.5,138.00721153846155
23,Seed Cells,1219,177.16242821985233,126.66004782742901
23,Fixed Cells,135,225.36296296296297,126.60583336787995
23,Dead Cells,0,0.0,0.0
23,Debris,9,90.11111111111111,136.2217129098765
24,Seed Cells,1286,175.0272161741835,126.37690197225689
24,Fixed Cells,143,224.46853146853147,126.6080992588925
24,Dead Cells,0,0.0,0.0
24,Debris,4,42.5,118.93470420342501
25,Seed Cells,1287,174.5174825174825,126.04727107140023
25,Fixed Cells,133,229.14285714285714,126.71287799271946
25,Dead Cells,0,0.0,0.0
25,Debris,8,102.75,125.65227298065378
26,Seed Cells,1372,172.09839650145773,126.21686865532486
26,Fixed Cells,113,222.1769911504425,126.73217484670134
26,Dead Cells,0,0.0,0.0
26,Debris,5,43.6,129.0765203147812
27,Seed Cells,1406,168.1330014224751,126.08914138026134
27,Fixed Cells,124,234.16935483870967,126.74393203868892
27,Dead Cells,1,132.0,111.9469696969697
27,Debris,5,37.8,115.41921052631578
28,Seed Cells,1428,175.84943977591035,126.326091520335
28,Fixed Cells,139,221.38129496402877,125.52207389196424
28,Dead Cells,0,0.0,0.0
28,Debris,9,44.111111111111114,123.28245632374306
29,Seed Cells,1510,162.03642384105962,126.12155366901722
29,Fixed Cells,135,226.76296296296297,126.32884370682845
29,Dead Cells,0,0.0,0.0
29,Debris,4,32.25,120.95302168021679
30,Seed Cells,1562,163.0595390524968,126.14349637851421
